sid,A,B,C,D,Vth,out_mult,out_log
0,25,30,12,40,0,1,1
0,25,30,12,40,3,1,1
0,25,30,12,40,6,1,1
0,25,30,12,40,9,1,1
0,25,30,12,40,12,1,1
0,25,30,12,40,15,1,1
0,25,30,12,40,18,1,1
0,25,30,12,40,21,1,1
0,25,30,12,40,24,1,1
0,25,30,12,40,27,1,1
0,25,30,12,40,30,1,1
0,25,30,12,40,33,1,1
0,25,30,12,40,36,1,1
0,25,30,12,40,39,1,1
0,25,30,12,40,42,1,1
0,25,30,12,40,45,1,1
0,25,30,12,40,48,1,1
0,25,30,12,40,51,1,1
0,25,30,12,40,54,1,1
0,25,30,12,40,57,1,1
0,25,30,12,40,60,1,1
0,25,30,12,40,63,1,1
0,25,30,12,40,66,1,1
0,25,30,12,40,69,1,1
0,25,30,12,40,72,1,1
0,25,30,12,40,75,1,1
0,25,30,12,40,78,1,1
0,25,30,12,40,81,1,1
0,25,30,12,40,84,1,1
0,25,30,12,40,87,1,1
0,25,30,12,40,90,1,1
0,25,30,12,40,93,1,1
0,25,30,12,40,96,1,1
0,25,30,12,40,98,1,1
0,25,30,12,40,99,1,1
0,25,30,12,40,100,1,1
0,25,30,12,40,101,1,1
0,25,30,12,40,102,1,1
0,25,30,12,40,103,1,1
0,25,30,12,40,104,1,1
0,25,30,12,40,105,1,1
0,25,30,12,40,106,1,1
0,25,30,12,40,107,1,1
0,25,30,12,40,108,1,1
0,25,30,12,40,109,1,1
0,25,30,12,40,110,1,1
0,25,30,12,40,111,1,1
0,25,30,12,40,112,1,1
0,25,30,12,40,113,1,1
0,25,30,12,40,114,1,1
0,25,30,12,40,115,1,1
0,25,30,12,40,116,1,1
0,25,30,12,40,117,1,1
0,25,30,12,40,118,1,1
0,25,30,12,40,119,1,1
0,25,30,12,40,120,1,1
0,25,30,12,40,121,1,1
0,25,30,12,40,122,1,1
0,25,30,12,40,123,1,1
0,25,30,12,40,124,1,1
0,25,30,12,40,125,1,1
0,25,30,12,40,126,1,1
0,25,30,12,40,127,1,1
0,25,30,12,40,128,1,0
0,25,30,12,40,129,1,0
0,25,30,12,40,130,1,0
0,25,30,12,40,131,1,0
0,25,30,12,40,132,1,0
0,25,30,12,40,133,1,0
0,25,30,12,40,134,1,0
0,25,30,12,40,135,1,0
0,25,30,12,40,136,1,0
0,25,30,12,40,137,1,0
0,25,30,12,40,138,1,0
0,25,30,12,40,139,1,0
0,25,30,12,40,140,1,0
0,25,30,12,40,141,1,0
0,25,30,12,40,142,1,0
0,25,30,12,40,143,1,0
0,25,30,12,40,144,1,0
0,25,30,12,40,145,1,0
0,25,30,12,40,146,1,0
0,25,30,12,40,147,1,0
0,25,30,12,40,148,1,0
0,25,30,12,40,149,1,0
0,25,30,12,40,150,1,0
0,25,30,12,40,151,1,0
0,25,30,12,40,152,1,0
0,25,30,12,40,153,1,0
0,25,30,12,40,154,1,0
0,25,30,12,40,155,1,0
0,25,30,12,40,156,1,0
0,25,30,12,40,157,1,0
0,25,30,12,40,158,1,0
0,25,30,12,40,159,1,0
0,25,30,12,40,160,1,0
0,25,30,12,40,161,1,0
0,25,30,12,40,162,1,0
0,25,30,12,40,163,1,0
0,25,30,12,40,164,1,0
0,25,30,12,40,165,1,0
0,25,30,12,40,166,1,0
0,25,30,12,40,167,1,0
0,25,30,12,40,168,1,0
0,25,30,12,40,169,1,0
0,25,30,12,40,170,1,0
0,25,30,12,40,171,1,0
0,25,30,12,40,172,1,0
0,25,30,12,40,173,1,0
0,25,30,12,40,174,1,0
0,25,30,12,40,175,1,0
0,25,30,12,40,176,1,0
0,25,30,12,40,177,1,0
0,25,30,12,40,178,1,0
0,25,30,12,40,179,1,0
0,25,30,12,40,180,1,0
0,25,30,12,40,181,1,0
0,25,30,12,40,182,1,0
0,25,30,12,40,183,1,0
0,25,30,12,40,184,1,0
0,25,30,12,40,185,1,0
0,25,30,12,40,186,1,0
0,25,30,12,40,187,1,0
0,25,30,12,40,188,1,0
0,25,30,12,40,189,1,0
0,25,30,12,40,190,1,0
0,25,30,12,40,191,1,0
0,25,30,12,40,192,1,0
0,25,30,12,40,193,1,0
0,25,30,12,40,194,1,0
0,25,30,12,40,195,1,0
0,25,30,12,40,196,1,0
0,25,30,12,40,197,1,0
0,25,30,12,40,198,1,0
0,25,30,12,40,199,1,0
0,25,30,12,40,200,1,0
0,25,30,12,40,201,1,0
0,25,30,12,40,202,1,0
0,25,30,12,40,203,1,0
0,25,30,12,40,204,1,0
0,25,30,12,40,205,1,0
0,25,30,12,40,206,1,0
0,25,30,12,40,207,1,0
0,25,30,12,40,208,1,0
0,25,30,12,40,209,1,0
0,25,30,12,40,210,1,0
0,25,30,12,40,211,1,0
0,25,30,12,40,212,1,0
0,25,30,12,40,213,1,0
0,25,30,12,40,214,1,0
0,25,30,12,40,215,1,0
0,25,30,12,40,216,1,0
0,25,30,12,40,217,1,0
0,25,30,12,40,218,1,0
0,25,30,12,40,219,1,0
0,25,30,12,40,220,1,0
0,25,30,12,40,221,1,0
0,25,30,12,40,222,1,0
0,25,30,12,40,223,1,0
0,25,30,12,40,224,1,0
0,25,30,12,40,225,1,0
0,25,30,12,40,226,1,0
0,25,30,12,40,227,1,0
0,25,30,12,40,228,1,0
0,25,30,12,40,229,1,0
0,25,30,12,40,230,1,0
0,25,30,12,40,231,1,0
0,25,30,12,40,232,1,0
0,25,30,12,40,233,1,0
0,25,30,12,40,234,1,0
0,25,30,12,40,235,1,0
0,25,30,12,40,236,1,0
0,25,30,12,40,237,1,0
0,25,30,12,40,238,1,0
0,25,30,12,40,239,1,0
0,25,30,12,40,240,1,0
0,25,30,12,40,241,1,0
0,25,30,12,40,242,1,0
0,25,30,12,40,243,1,0
0,25,30,12,40,244,1,0
0,25,30,12,40,245,1,0
0,25,30,12,40,246,1,0
0,25,30,12,40,247,1,0
0,25,30,12,40,248,1,0
0,25,30,12,40,249,1,0
0,25,30,12,40,250,1,0
0,25,30,12,40,251,1,0
0,25,30,12,40,252,1,0
0,25,30,12,40,253,1,0
0,25,30,12,40,254,1,0
0,25,30,12,40,255,1,0
0,25,30,12,40,256,1,0
0,25,30,12,40,257,1,0
0,25,30,12,40,258,1,0
0,25,30,12,40,259,1,0
0,25,30,12,40,260,1,0
0,25,30,12,40,261,1,0
0,25,30,12,40,262,1,0
0,25,30,12,40,263,1,0
0,25,30,12,40,264,1,0
0,25,30,12,40,265,1,0
0,25,30,12,40,266,1,0
0,25,30,12,40,267,1,0
0,25,30,12,40,268,1,0
0,25,30,12,40,269,1,0
0,25,30,12,40,270,0,0
0,25,30,12,40,271,0,0
0,25,30,12,40,272,0,0
0,25,30,12,40,273,0,0
0,25,30,12,40,274,0,0
0,25,30,12,40,275,0,0
0,25,30,12,40,276,0,0
0,25,30,12,40,277,0,0
0,25,30,12,40,278,0,0
0,25,30,12,40,279,0,0
0,25,30,12,40,280,0,0
0,25,30,12,40,281,0,0
0,25,30,12,40,282,0,0
0,25,30,12,40,283,0,0
0,25,30,12,40,284,0,0
0,25,30,12,40,285,0,0
0,25,30,12,40,286,0,0
0,25,30,12,40,287,0,0
0,25,30,12,40,288,0,0
0,25,30,12,40,289,0,0
0,25,30,12,40,290,0,0
0,25,30,12,40,291,0,0
0,25,30,12,40,292,0,0
0,25,30,12,40,293,0,0
0,25,30,12,40,294,0,0
0,25,30,12,40,295,0,0
0,25,30,12,40,296,0,0
0,25,30,12,40,297,0,0
0,25,30,12,40,298,0,0
0,25,30,12,40,299,0,0
0,25,30,12,40,300,0,0
0,25,30,12,40,303,0,0
0,25,30,12,40,306,0,0
0,25,30,12,40,309,0,0
0,25,30,12,40,312,0,0
0,25,30,12,40,315,0,0
0,25,30,12,40,318,0,0
0,25,30,12,40,321,0,0
0,25,30,12,40,324,0,0
0,25,30,12,40,327,0,0
0,25,30,12,40,330,0,0
0,25,30,12,40,333,0,0
0,25,30,12,40,336,0,0
0,25,30,12,40,339,0,0
0,25,30,12,40,342,0,0
0,25,30,12,40,345,0,0
0,25,30,12,40,348,0,0
0,25,30,12,40,351,0,0
0,25,30,12,40,354,0,0
0,25,30,12,40,357,0,0
0,25,30,12,40,360,0,0
0,25,30,12,40,363,0,0
0,25,30,12,40,366,0,0
0,25,30,12,40,369,0,0
0,25,30,12,40,372,0,0
0,25,30,12,40,375,0,0
0,25,30,12,40,378,0,0
0,25,30,12,40,381,0,0
0,25,30,12,40,384,0,0
0,25,30,12,40,387,0,0
0,25,30,12,40,390,0,0
0,25,30,12,40,393,0,0
0,25,30,12,40,396,0,0
0,25,30,12,40,399,0,0
0,25,30,12,40,402,0,0
0,25,30,12,40,405,0,0
0,25,30,12,40,408,0,0
0,25,30,12,40,411,0,0
0,25,30,12,40,414,0,0
0,25,30,12,40,417,0,0
0,25,30,12,40,420,0,0
0,25,30,12,40,423,0,0
0,25,30,12,40,426,0,0
0,25,30,12,40,429,0,0
0,25,30,12,40,432,0,0
0,25,30,12,40,435,0,0
0,25,30,12,40,438,0,0
0,25,30,12,40,441,0,0
0,25,30,12,40,444,0,0
0,25,30,12,40,447,0,0
0,25,30,12,40,450,0,0
0,25,30,12,40,453,0,0
0,25,30,12,40,456,0,0
0,25,30,12,40,459,0,0
0,25,30,12,40,462,0,0
0,25,30,12,40,465,0,0
0,25,30,12,40,468,0,0
0,25,30,12,40,471,0,0
0,25,30,12,40,474,0,0
0,25,30,12,40,477,0,0
0,25,30,12,40,480,0,0
0,25,30,12,40,483,0,0
0,25,30,12,40,486,0,0
0,25,30,12,40,489,0,0
0,25,30,12,40,492,0,0
0,25,30,12,40,495,0,0
0,25,30,12,40,498,0,0
0,25,30,12,40,501,0,0
0,25,30,12,40,504,0,0
0,25,30,12,40,507,0,0
0,25,30,12,40,510,0,0
0,25,30,12,40,513,0,0
0,25,30,12,40,516,0,0
0,25,30,12,40,519,0,0
0,25,30,12,40,522,0,0
0,25,30,12,40,525,0,0
0,25,30,12,40,528,0,0
0,25,30,12,40,531,0,0
0,25,30,12,40,534,0,0
0,25,30,12,40,537,0,0
0,25,30,12,40,540,0,0
0,25,30,12,40,543,0,0
0,25,30,12,40,546,0,0
0,25,30,12,40,549,0,0
0,25,30,12,40,552,0,0
0,25,30,12,40,555,0,0
0,25,30,12,40,558,0,0
0,25,30,12,40,561,0,0
0,25,30,12,40,564,0,0
0,25,30,12,40,567,0,0
0,25,30,12,40,570,0,0
0,25,30,12,40,573,0,0
0,25,30,12,40,576,0,0
0,25,30,12,40,579,0,0
0,25,30,12,40,582,0,0
0,25,30,12,40,585,0,0
0,25,30,12,40,588,0,0
0,25,30,12,40,591,0,0
0,25,30,12,40,594,0,0
0,25,30,12,40,597,0,0
0,25,30,12,40,600,0,0
0,25,30,12,40,603,0,0
0,25,30,12,40,606,0,0
0,25,30,12,40,609,0,0
0,25,30,12,40,612,0,0
0,25,30,12,40,615,0,0
0,25,30,12,40,618,0,0
1,8,8,5,5,0,1,1
1,8,8,5,5,1,1,1
1,8,8,5,5,2,1,1
1,8,8,5,5,3,1,1
1,8,8,5,5,4,1,1
1,8,8,5,5,5,1,1
1,8,8,5,5,6,1,1
1,8,8,5,5,7,1,1
1,8,8,5,5,8,1,1
1,8,8,5,5,9,1,1
1,8,8,5,5,10,1,1
1,8,8,5,5,11,1,1
1,8,8,5,5,12,1,1
1,8,8,5,5,13,1,1
1,8,8,5,5,14,1,1
1,8,8,5,5,15,1,1
1,8,8,5,5,16,1,1
1,8,8,5,5,17,1,1
1,8,8,5,5,18,1,1
1,8,8,5,5,19,1,1
1,8,8,5,5,20,1,1
1,8,8,5,5,21,1,1
1,8,8,5,5,22,1,1
1,8,8,5,5,23,1,1
1,8,8,5,5,24,1,1
1,8,8,5,5,25,1,1
1,8,8,5,5,26,1,1
1,8,8,5,5,27,1,1
1,8,8,5,5,28,1,1
1,8,8,5,5,29,1,1
1,8,8,5,5,30,1,1
1,8,8,5,5,31,1,1
1,8,8,5,5,32,1,1
1,8,8,5,5,33,1,1
1,8,8,5,5,34,1,1
1,8,8,5,5,35,1,1
1,8,8,5,5,36,1,1
1,8,8,5,5,37,1,1
1,8,8,5,5,38,1,1
1,8,8,5,5,39,0,1
1,8,8,5,5,40,0,0
1,8,8,5,5,41,0,0
1,8,8,5,5,42,0,0
1,8,8,5,5,43,0,0
1,8,8,5,5,44,0,0
1,8,8,5,5,45,0,0
1,8,8,5,5,46,0,0
1,8,8,5,5,47,0,0
1,8,8,5,5,48,0,0
1,8,8,5,5,49,0,0
1,8,8,5,5,50,0,0
1,8,8,5,5,51,0,0
1,8,8,5,5,52,0,0
1,8,8,5,5,53,0,0
1,8,8,5,5,54,0,0
1,8,8,5,5,55,0,0
1,8,8,5,5,56,0,0
1,8,8,5,5,57,0,0
1,8,8,5,5,58,0,0
1,8,8,5,5,59,0,0
1,8,8,5,5,60,0,0
1,8,8,5,5,61,0,0
1,8,8,5,5,62,0,0
1,8,8,5,5,63,0,0
1,8,8,5,5,64,0,0
1,8,8,5,5,65,0,0
1,8,8,5,5,66,0,0
1,8,8,5,5,67,0,0
1,8,8,5,5,68,0,0
1,8,8,5,5,69,0,0
1,8,8,5,5,70,0,0
1,8,8,5,5,71,0,0
1,8,8,5,5,72,0,0
1,8,8,5,5,73,0,0
1,8,8,5,5,74,0,0
1,8,8,5,5,75,0,0
1,8,8,5,5,76,0,0
1,8,8,5,5,77,0,0
1,8,8,5,5,78,0,0
1,8,8,5,5,79,0,0
1,8,8,5,5,80,0,0
1,8,8,5,5,81,0,0
1,8,8,5,5,82,0,0
1,8,8,5,5,83,0,0
1,8,8,5,5,84,0,0
1,8,8,5,5,85,0,0
1,8,8,5,5,86,0,0
1,8,8,5,5,87,0,0
1,8,8,5,5,88,0,0
1,8,8,5,5,89,0,0
1,8,8,5,5,90,0,0
1,8,8,5,5,91,0,0
1,8,8,5,5,92,0,0
1,8,8,5,5,93,0,0
1,8,8,5,5,94,0,0
1,8,8,5,5,95,0,0
1,8,8,5,5,96,0,0
1,8,8,5,5,97,0,0
1,8,8,5,5,98,0,0
1,8,8,5,5,99,0,0
1,8,8,5,5,100,0,0
1,8,8,5,5,101,0,0
1,8,8,5,5,102,0,0
1,8,8,5,5,103,0,0
1,8,8,5,5,104,0,0
1,8,8,5,5,105,0,0
1,8,8,5,5,106,0,0
1,8,8,5,5,107,0,0
1,8,8,5,5,108,0,0
1,8,8,5,5,109,0,0
1,8,8,5,5,110,0,0
1,8,8,5,5,111,0,0
1,8,8,5,5,112,0,0
1,8,8,5,5,113,0,0
1,8,8,5,5,114,0,0
1,8,8,5,5,115,0,0
1,8,8,5,5,116,0,0
1,8,8,5,5,117,0,0
1,8,8,5,5,118,0,0
1,8,8,5,5,119,0,0
1,8,8,5,5,120,0,0
1,8,8,5,5,121,0,0
1,8,8,5,5,122,0,0
1,8,8,5,5,123,0,0
1,8,8,5,5,124,0,0
1,8,8,5,5,125,0,0
1,8,8,5,5,126,0,0
1,8,8,5,5,127,0,0
1,8,8,5,5,128,0,0
1,8,8,5,5,129,0,0
1,8,8,5,5,130,0,0
1,8,8,5,5,131,0,0
1,8,8,5,5,132,0,0
1,8,8,5,5,133,0,0
1,8,8,5,5,134,0,0
1,8,8,5,5,135,0,0
1,8,8,5,5,136,0,0
1,8,8,5,5,137,0,0
1,8,8,5,5,138,0,0
1,8,8,5,5,139,0,0
1,8,8,5,5,140,0,0
1,8,8,5,5,141,0,0
1,8,8,5,5,142,0,0
1,8,8,5,5,143,0,0
1,8,8,5,5,144,0,0
1,8,8,5,5,145,0,0
1,8,8,5,5,146,0,0
1,8,8,5,5,147,0,0
1,8,8,5,5,148,0,0
1,8,8,5,5,149,0,0
1,8,8,5,5,150,0,0
1,8,8,5,5,151,0,0
1,8,8,5,5,152,0,0
1,8,8,5,5,153,0,0
1,8,8,5,5,154,0,0
1,8,8,5,5,155,0,0
1,8,8,5,5,156,0,0
1,8,8,5,5,157,0,0
1,8,8,5,5,158,0,0
2,50,50,20,20,0,1,1
2,50,50,20,20,21,1,1
2,50,50,20,20,42,1,1
2,50,50,20,20,63,1,1
2,50,50,20,20,84,1,1
2,50,50,20,20,105,1,1
