A,B,C,D,Vth,exp_exact,exp_k1
304,399,13,685,0,1,1
224,155,42,271,0,1,1
880,143,559,363,0,1,1
271,791,37,213,0,1,1
400,214,319,649,0,1,1
917,87,286,981,0,1,1
313,989,958,51,0,1,1
524,858,430,51,0,1,1
147,7,33,0,0,1,1
6,93,0,699,0,1,1
941,587,427,734,0,1,1
717,2,818,1,0,1,1
668,433,98,405,0,1,1
643,216,43,743,0,1,1
756,1002,739,24,0,1,1
226,190,98,165,0,1,1
332,245,536,570,0,1,1
959,858,793,113,0,1,1
0,118,427,5,0,1,1
688,91,980,63,0,1,1
633,532,129,524,0,1,1
276,472,125,550,0,1,1
265,108,404,904,0,1,1
0,706,13,22,0,1,1
59,7,4,181,0,1,1
100,256,397,108,0,1,1
131,618,583,926,0,1,1
356,903,690,656,0,1,1
412,62,304,734,0,1,1
725,739,685,271,0,1,1
487,82,914,312,0,1,1
862,420,345,806,0,1,1
2,612,131,8,0,1,1
918,951,320,917,0,1,1
756,890,197,967,0,1,1
158,7,27,22,0,1,1
748,0,140,17,0,1,1
746,724,94,1019,0,1,1
906,752,798,220,0,1,1
443,551,173,148,0,1,1
187,812,468,744,0,1,1
779,357,78,473,0,1,1
336,883,19,634,0,1,1
958,61,74,891,0,1,1
843,1,1,222,0,1,1
198,1,1,57,0,1,1
824,703,912,652,0,1,1
1,845,9,157,0,1,1
202,564,392,209,0,1,1
289,283,268,700,0,1,1
856,589,413,664,0,1,1
51,791,999,673,0,1,1
581,440,38,1022,0,1,1
265,503,287,345,0,1,1
7,97,93,773,0,1,1
250,494,665,861,0,1,1
4,316,515,1,0,1,1
364,55,542,481,0,1,1
370,347,44,876,0,1,1
646,337,636,70,0,1,1
166,682,310,754,0,1,1
695,837,893,901,0,1,1
1017,809,897,104,0,1,1
317,583,697,653,0,1,1
272,162,1003,524,0,1,1
258,107,676,0,0,1,1
403,0,1,326,0,1,1
838,0,1,141,0,1,1
509,3,7,46,0,1,1
49,45,36,5,0,1,1
507,3,15,34,0,1,1
293,386,133,834,0,1,1
152,858,996,51,0,1,1
800,355,45,853,0,1,1
164,8,13,14,0,1,1
397,111,75,590,0,1,1
740,342,656,610,0,1,1
911,300,209,321,0,1,1
657,122,592,432,0,1,1
407,757,695,504,0,1,1
25,408,348,441,0,1,1
3,86,462,4,0,1,1
994,541,319,540,0,1,1
619,973,929,994,0,1,1
338,504,559,801,0,1,1
907,349,161,49,0,1,1
4,546,57,0,0,1,1
445,755,617,678,0,1,1
