Vth,p1_AB,p2_CD,sM_exact,outM,x_log2AB,y_log2CD,sL_logsum,outL
0,750,480,1230,1,9.25,8.75,10,1
2,750,480,1230,1,9.25,8.75,10,1
4,750,480,1230,1,9.25,8.75,10,1
6,750,480,1230,1,9.25,8.75,10,1
8,750,480,1230,1,9.25,8.75,10,1
10,750,480,1230,1,9.25,8.75,10,1
12,750,480,1230,1,9.25,8.75,10,1
14,750,480,1230,1,9.25,8.75,10,1
16,750,480,1230,1,9.25,8.75,10,1
18,750,480,1230,1,9.25,8.75,10,1
20,750,480,1230,1,9.25,8.75,10,1
22,750,480,1230,1,9.25,8.75,10,1
24,750,480,1230,1,9.25,8.75,10,1
26,750,480,1230,1,9.25,8.75,10,1
28,750,480,1230,1,9.25,8.75,10,1
30,750,480,1230,1,9.25,8.75,10,1
32,750,480,1230,1,9.25,8.75,10,1
34,750,480,1230,1,9.25,8.75,10,1
36,750,480,1230,1,9.25,8.75,10,1
38,750,480,1230,1,9.25,8.75,10,1
40,750,480,1230,1,9.25,8.75,10,1
42,750,480,1230,1,9.25,8.75,10,1
44,750,480,1230,1,9.25,8.75,10,1
46,750,480,1230,1,9.25,8.75,10,1
48,750,480,1230,1,9.25,8.75,10,1
50,750,480,1230,1,9.25,8.75,10,1
52,750,480,1230,1,9.25,8.75,10,1
54,750,480,1230,1,9.25,8.75,10,1
56,750,480,1230,1,9.25,8.75,10,1
58,750,480,1230,1,9.25,8.75,10,1
60,750,480,1230,1,9.25,8.75,10,1
62,750,480,1230,1,9.25,8.75,10,1
64,750,480,1230,1,9.25,8.75,10,1
66,750,480,1230,1,9.25,8.75,10,1
68,750,480,1230,1,9.25,8.75,10,1
70,750,480,1230,1,9.25,8.75,10,1
72,750,480,1230,1,9.25,8.75,10,1
74,750,480,1230,1,9.25,8.75,10,1
76,750,480,1230,1,9.25,8.75,10,1
78,750,480,1230,1,9.25,8.75,10,1
80,750,480,1230,1,9.25,8.75,10,1
82,750,480,1230,1,9.25,8.75,10,1
84,750,480,1230,1,9.25,8.75,10,1
